customer_id,first_name,last_name,email,phone,signup_date,country,preferred_channel
105,Rebecca,Hughes,pdiaz@gmail.com,463-986-5577x908,2024-01-30,GT,branch
106,Diana,Hernandez,dennishunt@hotmail.com,6243286990,2024-04-18,PE,web
107,Christopher,Greer,richamanda@gmail.com,929.880.6865x0863,2024-11-12,TZ,mobile
108,Dawn,Cannon,jose86@hotmail.com,+1-946-636-8872x588,2024-09-05,TR,mobile
109,James,Taylor,qdavis@gmail.com,290-466-9849,2026-02-05,SA,mobile
110,Samuel,Galvan,hwillis@gmail.com,001-511-984-8955x439,2025-02-03,TR,web
111,Jennifer,Rodriguez,ericahall@yahoo.com,(488)904-3416x518,2024-09-16,MH,web
112,Debra,Valentine,travis84@yahoo.com,001-392-908-6780x85627,2024-09-19,FM,web
113,Christine,Carpenter,shannon92@hotmail.com,414.938.6632,2023-06-02,EE,mobile
114,Zachary,Atkinson,maurice61@yahoo.com,+1-339-898-2455x877,2025-12-26,JO,mobile
115,Charles,Jackson,lgutierrez@gmail.com,001-234-813-2611x1780,2025-08-08,BS,branch
116,Brittney,Pena,brittanybryant@hotmail.com,001-368-984-5783,2024-09-07,MM,branch
117,Eric,Smith,oclayton@yahoo.com,(338)994-4846x31224,2026-01-01,PG,web
118,John,Flores,steven05@gmail.com,001-520-846-1872x34601,2025-04-05,HU,mobile
119,Nancy,Davis,brenda63@gmail.com,001-379-725-1327,2026-01-13,BH,branch
120,Brittany,Herrera,ihansen@hotmail.com,492.385.5749,2025-08-20,DE,web
121,Dennis,Richardson,chloemorris@hotmail.com,318-910-2203,2024-03-10,BZ,web
122,Sara,Barrett,davenportchristian@gmail.com,413-886-3383,2023-10-28,DZ,branch
123,Michael,Simmons,vcannon@yahoo.com,676.500.4908x240,2024-04-15,KW,web
124,Terri,Short,larsonkevin@hotmail.com,001-561-205-5661,2026-01-26,ZM,mobile
125,Joseph,Flores,christopher86@hotmail.com,001-327-683-7693x89833,2025-03-16,LI,web
126,Jennifer,Diaz,alexander14@yahoo.com,9534833884,2026-05-01,MC,mobile
127,Susan,Rose,vincentellis@hotmail.com,7387457620,2024-11-20,YE,mobile
128,William,Mason,robertberry@yahoo.com,+1-457-882-3298x324,2023-12-29,TD,branch
129,Kristin,Fry,caitlynhall@gmail.com,972-989-7526,2023-12-17,DK,branch
130,Jennifer,Novak,vcarr@hotmail.com,+1-880-281-7703,2025-09-30,MW,branch
131,Jessica,Wilkerson,bmorris@gmail.com,001-337-914-5211,2026-01-26,ML,web
132,Janet,Moody,adamcannon@gmail.com,378.209.7339x7767,2024-06-01,SY,branch
133,Justin,Bryan,tammycurry@yahoo.com,645-956-1681,2023-12-13,CM,branch
134,Jason,Clark,lvasquez@hotmail.com,001-243-701-0713x966,2024-11-11,TJ,web
135,Christina,Campbell,brewertimothy@hotmail.com,+1-257-560-8495,2025-10-30,LA,branch
136,Stephen,Gomez,jennifer46@gmail.com,757.243.8421,2024-03-26,BW,web
137,Robert,Stein,garciakatie@hotmail.com,7949353344,2026-03-25,CL,web
138,Donald,Smith,dberger@gmail.com,7166629979,2024-10-15,FJ,mobile
139,Dr.,Anderson,kmurray@yahoo.com,(999)828-1615x814,2025-11-20,NG,mobile
140,Kimberly,Dickson,kylesullivan@hotmail.com,+1-696-857-0132x90227,2025-12-29,TR,branch
141,Michael,Stewart,smithann@yahoo.com,403-969-6566x6683,2023-12-20,ET,web
142,Isaac,Butler,ocruz@gmail.com,+1-209-973-8468x950,2026-05-16,MN,mobile
143,Tonya,Miller,robert44@gmail.com,001-294-694-0792x904,2025-06-09,BS,mobile
144,Sarah,Ramirez,cooperchristopher@gmail.com,(776)263-7239,2026-02-08,IN,mobile
145,Julie,Alvarez,ureyes@hotmail.com,6183569454,2024-06-17,TD,mobile
146,Michael,Allen,ubell@yahoo.com,300.391.0939,2023-09-29,UY,branch
147,Pamela,Wong,scottlisa@gmail.com,873-596-2712,2025-12-26,BA,mobile
148,Michelle,Garcia,ugraham@gmail.com,606.871.9855,2023-08-11,ZM,branch
149,Sarah,Peterson,austinjohnson@hotmail.com,261.884.7870x0505,2023-11-17,GH,web
150,Seth,Herrera,marybrown@gmail.com,499.731.3656x5198,2024-04-13,BD,branch
151,Barbara,Thomas,ysteele@yahoo.com,(232)448-7632,2025-07-02,VA,mobile
152,Rachel,Bailey,danielhernandez@yahoo.com,(720)905-4364,2023-07-24,CA,web
153,Casey,Floyd,coreyrojas@gmail.com,917.497.0623,2025-01-08,MR,web
154,Cheyenne,Howard,belindatran@gmail.com,(587)439-7740x63356,2025-10-25,AF,branch
155,Andrew,DDS,smithelizabeth@gmail.com,399.807.7262x570,2026-04-25,LT,web
156,Nicole,Wolfe,devonrogers@hotmail.com,+1-779-733-5548x6401,2025-04-19,RU,branch
157,Kim,Bryan,robert04@gmail.com,9389569557,2024-09-01,TN,web
158,Elizabeth,Mccormick,evanwilson@yahoo.com,(774)452-3805,2024-12-17,PE,branch
159,Barbara,Johnson,laurenchandler@yahoo.com,001-917-702-8140x693,2023-10-08,LR,mobile
160,Christie,Fox,paul04@yahoo.com,378-413-7674x2662,2024-04-04,KI,branch
161,Joseph,DVM,ywalker@gmail.com,947-314-6273x014,2025-12-03,CH,branch
162,Keith,Oneill,wfields@gmail.com,681-783-2192x8554,2023-10-13,SN,mobile
163,Adam,Holmes,butlersabrina@gmail.com,(707)454-5279,2024-09-02,AT,branch
164,Shannon,Thomas,harrisonrebekah@gmail.com,601-719-3932x5012,2024-11-15,DK,branch
165,Andrea,Weiss,glasssamantha@hotmail.com,(892)371-2566x383,2024-09-17,CM,web
166,Chad,Farmer,xcrosby@gmail.com,+1-371-767-8112x66912,2024-03-22,LU,branch
167,Wanda,Martinez,garciabrian@gmail.com,+1-902-569-5249x91187,2024-08-16,HR,web
168,Dennis,Cooper,larryprice@gmail.com,+1-878-789-7782x80647,2024-08-01,LI,mobile
169,Amanda,Hood,andrewnguyen@yahoo.com,(398)964-0790x56965,2023-10-20,FM,web
170,Kathryn,Hubbard,nballard@hotmail.com,001-791-395-4198x763,2026-02-23,KI,web
171,Joshua,Gonzalez,steven32@hotmail.com,001-846-565-1364x42493,2023-11-10,CZ,mobile
172,Rebecca,Collins,carolyn16@yahoo.com,+1-316-523-1981x89847,2025-12-04,CM,web
173,Kevin,Price,natasha25@yahoo.com,(340)590-0348x645,2025-04-04,MW,mobile
174,Jenna,Spence,hollowayholly@hotmail.com,(869)585-7002x720,2026-01-18,KP,branch
175,Brian,Wright,leblancdeborah@hotmail.com,673-442-0696,2023-10-03,MN,branch
176,Autumn,Higgins,robertsjose@hotmail.com,859.571.0725,2025-01-02,KN,web
177,David,Davis,natalie21@yahoo.com,662.741.5027x45644,2025-03-24,DM,branch
178,John,Dodson,urodriguez@gmail.com,(213)442-2849x939,2025-02-22,BO,mobile
179,Megan,Clay,jasonwilliams@hotmail.com,501-489-6164x23610,2025-01-10,NA,branch
180,Troy,Moore,madams@yahoo.com,001-965-392-6610x85732,2024-08-11,PT,mobile
181,Robert,Evans,wilsondorothy@gmail.com,(960)616-4597,2024-10-29,ER,branch
182,Nicole,Munoz,martinezalexander@gmail.com,5303372368,2024-08-27,PL,web
183,Alison,Martin,benjamin67@hotmail.com,001-897-930-8069x5814,2023-11-15,SA,branch
184,Jeffrey,Martin,manderson@gmail.com,416.474.3380x0545,2025-07-08,AU,branch
185,Ashley,Perez,colonbobby@gmail.com,+1-413-352-4787x1255,2024-03-26,OM,branch
186,Aaron,Davenport,millerleroy@gmail.com,8606290846,2024-09-16,LY,mobile
187,Stephanie,Bishop,katherine20@gmail.com,+1-794-634-6810,2026-01-15,SD,mobile
188,Peter,Pugh,tgarcia@yahoo.com,(811)606-2737x15869,2025-11-10,SB,web
189,Mr.,MD,xrodriguez@hotmail.com,9822154544,2023-12-25,CV,mobile
190,Steven,Small,uhernandez@yahoo.com,+1-496-263-6580x741,2025-10-22,ZM,branch
191,Caleb,Hansen,imiller@hotmail.com,(690)370-5626x0856,2023-11-12,BZ,branch
192,Catherine,Tate,gromero@yahoo.com,605-378-6170x630,2024-06-03,TH,mobile
193,Jennifer,Miller,qnelson@hotmail.com,(839)384-0289x141,2023-12-20,RS,branch
194,Daniel,Wagner,deborahsmith@yahoo.com,2269876811,2026-03-27,CM,web
195,Mr.,Hughes,tconway@hotmail.com,5364149872,2023-08-27,TZ,web
196,Bethany,Mahoney,david87@yahoo.com,203.504.6875x06351,2026-04-23,NO,mobile
197,Christina,Murphy,oduran@yahoo.com,910-206-5120,2024-08-28,VA,mobile
198,Michael,Hansen,watkinsmary@hotmail.com,+1-484-656-7972x3200,2025-11-11,NZ,web
199,Stephen,Rowe,petersonelizabeth@hotmail.com,995.299.5946x521,2025-06-26,GN,web
200,Melissa,Owens,alopez@yahoo.com,750-281-2473,2023-07-03,FJ,mobile
201,Colleen,Green,shelleyrowland@hotmail.com,001-811-522-3386x559,2023-07-28,VE,mobile
202,Elizabeth,Hernandez,fbaldwin@yahoo.com,001-869-503-3373,2024-09-04,NO,mobile
203,Timothy,Brooks,josephjones@gmail.com,588.714.3111x50835,2024-06-09,KI,branch
204,Larry,Taylor,megan66@gmail.com,580.852.9240x755,2025-03-09,LA,mobile
205,Michael,Evans,christopher18@gmail.com,001-397-902-3164x334,2023-08-15,MN,mobile
206,Shannon,Jenkins,waynecohen@yahoo.com,9279169385,2025-05-05,TR,branch
207,Donna,Ibarra,nicole84@hotmail.com,001-937-468-1511x856,2024-06-13,GE,web
208,Angel,Neal,jenniferkim@yahoo.com,322-209-1241x862,2026-04-04,IR,mobile
209,Cassandra,Klein,smithanthony@gmail.com,313.712.2068,2024-09-30,TJ,branch
210,Taylor,Foster,johnathandavis@yahoo.com,001-962-852-5715x099,2025-07-19,DZ,mobile
211,Michele,Smith,dawn08@yahoo.com,703-455-3380x3396,2025-04-04,ZM,mobile
212,Katherine,Mckay,catherineturner@hotmail.com,+1-834-471-5662x7768,2025-06-04,AO,branch
213,Bradley,Knox,travis66@hotmail.com,(674)791-6016x9236,2025-07-17,KN,web
214,Jacob,Brown,lsanders@gmail.com,662.864.4886,2023-10-03,CD,branch
215,Derrick,Clark,gregorylopez@gmail.com,828.917.9323x0234,2026-01-15,VU,mobile
216,Carol,Carter,sarah75@hotmail.com,955-853-5669x05510,2023-12-19,AR,web
217,Diana,Lyons,shatfield@gmail.com,(949)432-8980x2714,2025-04-10,CI,branch
218,David,Lewis,ostokes@yahoo.com,211-615-9319x5256,2023-08-22,UA,branch
219,Veronica,Flores,dustin09@yahoo.com,214.497.3746x05233,2025-06-13,ZA,web
220,Robert,Gaines,barbararamos@yahoo.com,(833)830-5912,2026-04-07,DO,mobile
221,Valerie,White,wilsondavid@hotmail.com,630.499.9741x92676,2023-10-19,LR,branch
222,Shannon,Medina,christopherscott@gmail.com,684-258-2603,2025-08-01,KE,branch
223,John,Edwards,jorge26@yahoo.com,462-883-1435x989,2024-01-11,KW,branch
224,Victor,Wright,thompsonjessica@yahoo.com,818.459.4849x1025,2024-11-04,SZ,mobile
225,Cameron,Smith,mezarichard@yahoo.com,611-931-2901,2023-06-03,NO,branch
226,Kayla,Cuevas,emilymacias@hotmail.com,(815)428-5067,2024-12-17,CG,web
227,David,Ryan,gilbertmark@yahoo.com,5523650167,2025-08-16,SG,web
228,Susan,Smith,rachel23@yahoo.com,316-378-7256x862,2023-06-19,CN,branch
229,Alexis,Cohen,jessicalopez@yahoo.com,443-563-7189,2025-11-21,ZM,branch
230,Brandi,Johnson,michael56@gmail.com,6203005347,2025-03-17,ER,web
231,Jack,Torres,crystalguzman@gmail.com,+1-433-271-1895x4738,2023-12-02,FI,web
232,David,Wiley,keithsosa@gmail.com,001-836-878-8127x868,2025-12-16,IR,branch
233,Caitlin,Robinson,veronicaclark@gmail.com,+1-259-255-1842x6945,2024-11-20,GN,web
234,Wesley,Medina,lisawalker@yahoo.com,001-362-973-6527,2024-02-23,PK,mobile
235,Casey,Hudson,morrisonnicholas@gmail.com,2023314290,2025-09-06,LK,mobile
236,Bradley,Taylor,andrewsimmons@gmail.com,+1-743-361-7213x1451,2024-11-28,BS,mobile
237,Cassandra,Moreno,ygriffin@yahoo.com,419-864-2152,2024-11-15,LB,mobile
238,Michael,Gutierrez,angela21@gmail.com,(324)472-8633x302,2024-12-24,ES,web
239,Jessica,Brown,kaitlinhale@yahoo.com,(857)804-1200x92820,2026-04-08,PH,mobile
240,Jonathan,Fletcher,velasqueztaylor@yahoo.com,+1-766-220-5634x1115,2024-05-24,JM,branch
241,Ana,Harper,uporter@yahoo.com,(921)256-8182x096,2024-08-10,DK,branch
242,Angela,Garrett,nallen@hotmail.com,(997)310-2481,2025-04-23,KW,mobile
243,Candice,Ramirez,nathaniel68@yahoo.com,+1-309-503-8021x46296,2025-01-10,PL,branch
244,Julie,Nichols,danielleflores@gmail.com,001-360-456-7303x06442,2023-09-02,IS,mobile
245,Shane,Hayes,salvarez@gmail.com,(259)460-8931x99255,2025-04-29,CY,mobile
246,Brian,Cordova,woodmichael@yahoo.com,917.876.6558x68512,2024-12-17,EE,mobile
247,Jane,Bruce,melissa33@yahoo.com,(613)671-5766x0538,2026-03-06,IN,branch
248,Robert,Perry,zpoole@hotmail.com,(362)465-8263,2025-07-09,CL,branch
249,Mark,Green,jessicaroman@yahoo.com,304-412-0911x791,2024-07-29,IN,mobile
250,Kathleen,Ward,wilsonmatthew@yahoo.com,+1-298-402-8413x908,2024-04-18,MM,mobile
251,Alyssa,Taylor,gabriel37@yahoo.com,(994)459-1966x39551,2023-07-09,SE,mobile
252,Edward,Serrano,annacruz@hotmail.com,231.984.9196x65533,2025-06-30,BD,mobile
253,Caleb,Jackson,jonescody@yahoo.com,945-956-1857x9064,2026-02-06,CM,web
254,Brian,Walker,knelson@gmail.com,912.952.9671x883,2024-07-26,LI,mobile
255,Dennis,Phillips,petersonlisa@hotmail.com,847-528-1235x67983,2023-09-01,IT,branch
256,Eric,Kane,dromero@yahoo.com,(910)866-3436x294,2023-11-03,KZ,mobile
257,Tina,Robinson,dana94@hotmail.com,328-497-4325,2024-03-04,LT,web
258,Adam,Wells,mary88@gmail.com,(611)945-7758,2024-06-14,MM,branch
259,Harold,Mckinney,sheppardnatalie@hotmail.com,282.745.5696x443,2025-12-24,CM,web
260,Keith,Sparks,calvin40@yahoo.com,749.210.7406,2023-08-03,ID,mobile
261,Diane,Trevino,grasmussen@yahoo.com,+1-542-696-5923x426,2024-09-02,BS,branch
262,Mark,Gardner,bettywatson@hotmail.com,001-940-262-6078,2023-09-26,BG,mobile
263,Matthew,Cook,courtney07@hotmail.com,511.502.9181,2023-10-25,PY,branch
264,Jill,Brown,thomasroberts@hotmail.com,001-875-446-6176,2023-06-30,JM,branch
265,James,Carpenter,thompsonedward@hotmail.com,001-857-924-4617,2025-12-14,KM,branch
266,Tammy,Rowe,johnsonjessica@gmail.com,+1-617-375-3312x66109,2023-07-15,AE,web
267,Jacqueline,Welch,harrislisa@gmail.com,001-769-781-5287x33978,2026-01-02,TJ,mobile
268,Jessica,Garrett,carlos24@gmail.com,001-338-998-4690,2024-06-29,TD,web
269,Jennifer,Gonzalez,garciatyler@gmail.com,(267)943-0003x896,2023-08-06,MW,web
270,Jeffrey,Simmons,brownsamuel@yahoo.com,559-934-2967x11148,2026-05-17,LK,mobile
271,Scott,Wallace,kevintran@gmail.com,001-820-637-7107x0449,2023-09-26,BH,mobile
272,James,Smith,aguirreangela@hotmail.com,287-669-9842x6732,2026-04-12,IS,mobile
273,Dr.,MD,rileychristopher@hotmail.com,517-324-4472x32290,2026-02-27,AZ,branch
274,Shannon,Riley,amber09@gmail.com,718-771-8133,2026-04-09,NI,web
275,Sherri,Thomas,rodriguezjason@yahoo.com,001-589-853-6902x611,2025-09-01,ES,web
276,Kelsey,Williams,denise93@yahoo.com,(339)328-3692x94455,2025-02-10,NL,web
277,Mackenzie,Barton,jenniferwilson@yahoo.com,+1-491-401-5767x647,2025-11-18,SE,web
278,Aimee,Watkins,cory42@gmail.com,377-532-4491x342,2025-09-21,SE,web
279,Stephanie,Moyer,ibaker@yahoo.com,+1-715-213-1528x54781,2025-03-21,BZ,branch
280,Justin,Monroe,jenniferwilliams@hotmail.com,+1-969-835-7824x347,2025-12-01,MK,mobile
281,Daniel,Mccarty,xbrown@yahoo.com,+1-656-967-6640x47350,2025-02-12,GN,branch
282,Penny,Rodriguez,rhonda81@hotmail.com,535.583.2863x42556,2023-06-08,AZ,branch
283,Kelsey,Mason,jonesjennifer@hotmail.com,6087921963,2025-03-08,SG,branch
284,Judy,Garcia,kwood@gmail.com,852-911-8237x9312,2025-08-08,RS,mobile
285,Katherine,Jenkins,martinkaitlin@gmail.com,210.667.2872x866,2023-11-16,NZ,mobile
286,Spencer,Nelson,asmith@gmail.com,910.443.3187x5109,2023-08-29,MG,web
287,Alexis,Lee,xrivera@hotmail.com,497-932-0331x922,2023-05-18,LI,branch
288,Amy,Hunt,jennifer68@yahoo.com,001-541-586-5205x756,2025-01-01,MR,web
289,Whitney,Gonzalez,maddoxmadeline@hotmail.com,+1-477-427-8105x092,2023-09-23,NL,mobile
290,Marcia,Brown,jessicamiller@yahoo.com,793-986-2044x851,2025-10-16,MC,mobile
291,Julie,Wilson,grayjustin@yahoo.com,001-656-933-4324,2024-07-01,BW,mobile
292,Jack,Barton,christopher34@gmail.com,801-282-7279x559,2024-09-29,ME,mobile
293,Sheila,Smith,qflowers@hotmail.com,+1-857-264-0381x664,2024-01-27,SG,branch
294,Stacie,Sanford,pdavis@gmail.com,+1-850-572-5178,2025-05-20,SV,web
295,Michael,Hines,icarlson@gmail.com,890.339.2355x5809,2026-02-13,GT,mobile
296,Amanda,Turner,autumncruz@yahoo.com,766.704.6419x7857,2023-11-07,EE,web
297,James,Leonard,danielsguy@yahoo.com,8755409150,2024-02-14,BS,mobile
298,Brianna,Snyder,copelandryan@gmail.com,794.949.8830,2024-04-16,PS,web
299,Michael,Lopez,omatthews@hotmail.com,+1-967-480-5555,2025-05-04,CH,web
